timestep,active_agents,evacuated_agents,avg_panic,max_panic,avg_stamina
139,39,36,0.0,0.0,0.0015384615384615
140,39,36,0.0,0.0,0.001282051282051263
141,39,36,0.0,0.0,0.001282051282051263
142,39,36,0.0,0.0,0.001282051282051263
143,38,37,0.0,0.0,0.001315789473684191
144,38,37,0.0,0.0,0.001315789473684191
145,37,38,0.0,0.0,0.0013513513513513313
146,37,38,0.0,0.0,0.0013513513513513313
147,36,39,0.0,0.0,0.0011111111111110903
148,36,39,0.0,0.0,0.0008333333333333125
149,36,39,0.0,0.0,0.0008333333333333125
150,36,39,0.0,0.0,0.0005555555555555346
151,36,39,0.0,0.0,0.00027777777777775685
152,36,39,0.0,0.0,0.0
153,36,39,0.0,0.0,0.0
154,35,40,0.0,0.0,0.0
155,35,40,0.0,0.0,0.0
156,35,40,0.0,0.0,0.0
157,35,40,0.0,0.0,0.0
158,35,40,0.0,0.0,0.0
159,35,40,0.0,0.0,0.0
160,35,40,0.0,0.0,0.0
161,35,40,0.0,0.0,0.0
162,35,40,0.0,0.0,0.0
163,34,41,0.0,0.0,0.0
164,34,41,0.0,0.0,0.0
165,33,42,0.0,0.0,0.0
166,33,42,0.0,0.0,0.0
167,33,42,0.0,0.0,0.0
168,33,42,0.0,0.0,0.0
169,33,42,0.0,0.0,0.0
170,33,42,0.0,0.0,0.0
171,33,42,0.0,0.0,0.0
172,33,42,0.0,0.0,0.0
173,33,42,0.0,0.0,0.0
174,33,42,0.0,0.0,0.0
175,33,42,0.0,0.0,0.0
176,32,43,0.0,0.0,0.0
177,32,43,0.0,0.0,0.0
178,31,44,0.0,0.0,0.0
179,31,44,0.0,0.0,0.0
180,31,44,0.0,0.0,0.0
181,31,44,0.0,0.0,0.0
182,30,45,0.0,0.0,0.0
183,30,45,0.0,0.0,0.0
184,30,45,0.0,0.0,0.0
185,29,46,0.0,0.0,0.0
186,29,46,0.0,0.0,0.0
187,29,46,0.0,0.0,0.0
188,28,47,0.0,0.0,0.0
189,28,47,0.0,0.0,0.0
190,28,47,0.0,0.0,0.0
191,28,47,0.0,0.0,0.0
192,28,47,0.0,0.0,0.0
193,28,47,0.0,0.0,0.0
194,28,47,0.0,0.0,0.0
195,28,47,0.0,0.0,0.0
196,28,47,0.0,0.0,0.0
197,28,47,0.0,0.0,0.0
198,28,47,0.0,0.0,0.0
199,28,47,0.0,0.0,0.0
200,28,47,0.0,0.0,0.0
201,28,47,0.0,0.0,0.0
202,28,47,0.0,0.0,0.0
203,28,47,0.0,0.0,0.0
204,28,47,0.0,0.0,0.0
205,28,47,0.0,0.0,0.0
206,28,47,0.0,0.0,0.0
207,28,47,0.0,0.0,0.0
208,28,47,0.0,0.0,0.0
209,28,47,0.0,0.0,0.0
210,28,47,0.0,0.0,0.0
211,28,47,0.0,0.0,0.0
212,28,47,0.0,0.0,0.0
213,28,47,0.0,0.0,0.0
214,28,47,0.0,0.0,0.0
215,28,47,0.0,0.0,0.0
216,28,47,0.0,0.0,0.0
217,28,47,0.0,0.0,0.0
218,28,47,0.0,0.0,0.0
219,28,47,0.0,0.0,0.0
220,28,47,0.0,0.0,0.0
221,28,47,0.0,0.0,0.0
222,27,48,0.0,0.0,0.0
223,27,48,0.0,0.0,0.0
224,27,48,0.0,0.0,0.0
225,27,48,0.0,0.0,0.0
226,27,48,0.0,0.0,0.0
227,27,48,0.0,0.0,0.0
228,27,48,0.0,0.0,0.0
229,27,48,0.0,0.0,0.0
230,27,48,0.0,0.0,0.0
231,27,48,0.0,0.0,0.0
232,27,48,0.0,0.0,0.0
233,27,48,0.0,0.0,0.0
234,27,48,0.0,0.0,0.0
235,27,48,0.0,0.0,0.0
236,27,48,0.0,0.0,0.0
