timestep,active_agents,evacuated_agents,avg_panic,max_panic,avg_stamina
92,75,0,0.0,0.0,0.2255999999999994
93,75,0,0.0,0.0,0.2203999999999993
94,75,0,0.0,0.0,0.2150666666666659
95,75,0,0.0,0.0,0.20999999999999924
96,75,0,0.0,0.0,0.20493333333333258
97,75,0,0.0,0.0,0.19999999999999926
98,75,0,0.0,0.0,0.1953333333333326
99,75,0,0.0,0.0,0.19066666666666596
100,75,0,0.0,0.0,0.18586666666666607
101,75,0,0.0,0.0,0.1827999999999994
102,75,0,0.0,0.0,0.1799999999999994
103,75,0,0.0,0.0,0.17759999999999942
104,75,0,0.0,0.0,0.17586666666666614
105,75,0,0.0,0.0,0.1738666666666662
106,75,0,0.0,0.0,0.17293333333333286
107,75,0,0.0,0.0,0.17079999999999954
108,75,0,0.0,0.0,0.16919999999999952
109,75,0,0.0,0.0,0.16773333333333287
110,75,0,0.0,0.0,0.16639999999999958
111,75,0,0.0,0.0,0.16466666666666624
112,75,0,0.0,0.0,0.16386666666666624
113,75,0,0.0,0.0,0.16253333333333295
114,75,0,0.0,0.0,0.16186666666666627
115,75,0,0.0,0.0,0.16079999999999964
116,75,0,0.0,0.0,0.1595999999999996
117,75,0,0.0,0.0,0.1586666666666663
118,75,0,0.0,0.0,0.15786666666666627
119,75,0,0.0,0.0,0.15706666666666627
120,75,0,0.0,0.0,0.15613333333333296
121,75,0,0.0,0.0,0.1550666666666663
122,75,0,0.0,0.0,0.15453333333333294
123,75,0,0.0,0.0,0.1531999999999996
124,75,0,0.0,0.0,0.15213333333333293
125,75,0,0.0,0.0,0.15159999999999962
126,75,0,0.0,0.0,0.15106666666666627
127,75,0,0.0,0.0,0.1498666666666663
128,75,0,0.0,0.0,0.14866666666666628
129,75,0,0.0,0.0,0.14773333333333297
130,75,0,0.0,0.0,0.14693333333333294
131,75,0,0.0,0.0,0.14586666666666626
132,75,0,0.0,0.0,0.14506666666666626
133,75,0,0.0,0.0,0.14453333333333296
134,75,0,0.0,0.0,0.14373333333333294
135,75,0,0.0,0.0,0.1423999999999996
136,75,0,0.0,0.0,0.14146666666666627
137,75,0,0.0,0.0,0.14053333333333295
138,75,0,0.0,0.0,0.13959999999999959
139,75,0,0.0,0.0,0.1386666666666663
140,75,0,0.0,0.0,0.13799999999999962
141,75,0,0.0,0.0,0.1375999999999996
142,75,0,0.0,0.0,0.13693333333333296
143,75,0,0.0,0.0,0.13613333333333297
144,75,0,0.0,0.0,0.13506666666666634
145,75,0,0.0,0.0,0.13386666666666636
146,75,0,0.0,0.0,0.13319999999999968
147,75,0,0.0,0.0,0.13266666666666632
148,75,0,0.0,0.0,0.13199999999999965
149,75,0,0.0,0.0,0.131733333333333
150,75,0,0.0,0.0,0.13146666666666632
151,75,0,0.0,0.0,0.13066666666666635
152,75,0,0.0,0.0,0.13013333333333302
153,75,0,0.0,0.0,0.1295999999999997
154,75,0,0.0,0.0,0.12919999999999968
155,75,0,0.0,0.0,0.12853333333333303
156,75,0,0.0,0.0,0.12826666666666636
157,75,0,0.0,0.0,0.1274666666666664
158,75,0,0.0,0.0,0.12679999999999975
159,75,0,0.0,0.0,0.12613333333333307
160,75,0,0.0,0.0,0.12519999999999976
161,75,0,0.0,0.0,0.1246666666666664
162,75,0,0.0,0.0,0.12426666666666641
163,75,0,0.0,0.0,0.12306666666666641
164,75,0,0.0,0.0,0.12213333333333305
165,75,0,0.0,0.0,0.12186666666666639
166,75,0,0.0,0.0,0.12119999999999971
167,75,0,0.0,0.0,0.12053333333333309
168,75,0,0.0,0.0,0.11986666666666641
169,75,0,0.0,0.0,0.11919999999999974
170,75,0,0.0,0.0,0.1186666666666664
171,75,0,0.0,0.0,0.11813333333333303
172,75,0,0.0,0.0,0.11759999999999972
173,75,0,0.0,0.0,0.11706666666666635
174,75,0,0.0,0.0,0.11693333333333304
175,75,0,0.0,0.0,0.11653333333333303
176,75,0,0.0,0.0,0.11626666666666637
177,75,0,0.0,0.0,0.11586666666666635
178,75,0,0.0,0.0,0.11546666666666638
179,75,0,0.0,0.0,0.11493333333333301
180,75,0,0.0,0.0,0.11466666666666635
181,75,0,0.0,0.0,0.1143999999999997
182,75,0,0.0,0.0,0.11386666666666637
183,75,0,0.0,0.0,0.11346666666666635
184,75,0,0.0,0.0,0.11333333333333301
185,75,0,0.0,0.0,0.11293333333333301
186,75,0,0.0,0.0,0.11266666666666635
187,75,0,0.0,0.0,0.1123999999999997
188,75,0,0.0,0.0,0.11146666666666638
189,75,0,0.0,0.0,0.11093333333333305
190,75,0,0.0,0.0,0.1103999999999997
191,75,0,0.0,0.0,0.11026666666666637
192,75,0,0.0,0.0,0.10986666666666639
193,75,0,0.0,0.0,0.10959999999999973
194,75,0,0.0,0.0,0.10933333333333305
195,75,0,0.0,0.0,0.10893333333333308
196,75,0,0.0,0.0,0.10866666666666641
197,75,0,0.0,0.0,0.10826666666666641
198,75,0,0.0,0.0,0.10786666666666643
199,75,0,0.0,0.0,0.10746666666666643
200,75,0,0.0,0.0,0.10666666666666642
201,75,0,0.0,0.0,0.10626666666666647
202,75,0,0.0,0.0,0.10586666666666644
203,75,0,0.0,0.0,0.1057333333333331
204,75,0,0.0,0.0,0.10546666666666643
