timestep,agent_id,x,y,panic_level,evacuated,age,stamina,family_id
4,28,68,56,0.0,False,51,0.96,0
4,18,69,66,0.0,False,72,0.96,5
4,17,85,32,0.0,False,75,0.96,2
4,31,77,35,0.0,False,42,0.96,10
4,23,98,25,0.0,False,27,0.96,9
4,70,83,49,0.0,False,13,0.96,4
4,71,72,0,0.0,False,56,0.96,13
4,72,72,42,0.0,False,37,0.96,3
4,73,74,4,0.0,False,76,0.96,6
4,16,51,11,0.0,False,18,0.96,1
4,60,96,54,0.0,False,51,0.96,4
4,61,23,74,0.0,False,59,0.96,15
4,46,87,26,0.0,False,50,0.96,3
4,47,8,12,0.0,False,80,0.96,13
4,48,17,0,0.0,False,66,0.96,10
4,49,49,45,0.0,False,29,0.96,13
4,50,33,68,0.0,False,12,0.96,0
4,51,0,71,0.0,False,32,0.96,9
4,52,20,57,0.0,False,26,0.96,4
4,53,38,95,0.0,False,25,0.96,13
4,11,10,16,0.0,False,17,0.96,12
4,12,89,72,0.0,False,50,0.96,7
4,13,46,22,0.0,False,8,0.96,10
4,14,34,26,0.0,False,62,0.96,15
4,15,63,72,0.0,False,67,0.96,4
4,44,65,6,0.0,False,31,0.96,2
4,43,17,59,0.0,False,34,0.96,13
4,42,81,66,0.0,False,60,0.96,2
4,41,71,16,0.0,False,59,0.96,10
4,40,4,40,0.0,False,29,0.96,15
4,45,3,14,0.0,False,48,0.96,4
5,0,35,59,0.0,False,39,0.95,6
5,25,89,58,0.0,False,80,0.95,7
5,26,23,31,0.0,False,50,0.95,14
5,27,82,23,0.0,False,73,0.95,7
5,28,67,55,0.0,False,51,0.95,0
5,29,57,71,0.0,False,46,0.95,11
5,30,30,20,0.0,False,76,0.95,0
5,31,76,34,0.0,False,42,0.95,10
5,32,13,11,0.0,False,24,0.95,2
5,17,84,31,0.0,False,75,0.95,2
5,18,68,65,0.0,False,72,0.95,5
5,19,32,36,0.0,False,14,0.95,1
5,20,55,0,0.0,False,71,0.95,9
5,21,41,56,0.0,False,27,0.95,7
5,22,73,44,0.0,False,6,0.95,12
5,23,97,24,0.0,False,27,0.95,9
